X,Y,FID,Año,IdAccident,Latitud,longitud,ClaseAccid,Fecha,Hora,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves
-8128406.28349866,-4432616.95887483,3212,2024,1611547,-36.953426,-73.018716,1,2024/05/11 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CHIGUAYANTE,CHOQUE FRONTAL,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ITALIA,CALLE UNO,CALLE UNO - ITALIA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8141557.45682148,-4400719.61971747,3213,2024,1621754,-36.724102,-73.136855,1,2024/04/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,LOS ARAUCANOS, ,- LOS ARAUCANOS,548, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8053042.87691212,-4502576.35869156,3214,2024,1626621,-37.453982,-72.341715,1,2024/07/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,CHOQUE LADO/LADO,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,SOR VICENTA, ,- SOR VICENTA,1801, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,MOJADO,NUBLADO,0,0,0,0
-8127869.16695558,-4432523.48776415,3215,2024,1611552,-36.952755,-73.013891,1,2024/05/11 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,MANUEL RODRIGUEZ,ITALIA,ITALIA - MANUEL RODRIGUEZ,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1
-8139349.10076313,-4399330.7236814,3216,2024,1621756,-36.714101,-73.117017,1,2024/06/26 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,ALMIRANTE LATORRE, ,- ALMIRANTE LATORRE,425, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8053908.94255049,-4504289.95403392,3217,2024,1626623,-37.466201,-72.349495,1,2024/07/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,TUCAPEL,ALMAGRO,ALMAGRO - TUCAPEL,0, , ,BIDIRECCIONAL,ASFALTO,BUENO,MOJADO,LLUVIA,0,0,0,0
-8139715.34188784,-4416006.51272847,3218,2024,1611603,-36.834092,-73.120307,1,2024/05/12 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,SAN PEDRO DE LA PAZ,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,PEDRO AGUIRRE CERDA,CANDELARIA,CANDELARIA - PEDRO AGUIRRE CERDA,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8136466.14859056,-4405555.85017863,3219,2024,1621758,-36.758916,-73.091119,1,2024/06/19 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TALCAHUANO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE,LAS HORTENSIAS, ,- LAS HORTENSIAS,5094, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8133361.22535336,-4414451.66495539,3220,2024,1626636,-36.822912,-73.063227,1,2024/07/02 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,GENERAL CRUZ,ARTURO PRAT,ARTURO PRAT - GENERAL CRUZ,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8132198.60459151,-4416017.50038615,3221,2024,1611610,-36.834171,-73.052783,1,2024/05/14 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,CONCEPCION,ATROPELLO,ATROPELLO,URBANA,PASO PARA PEATONES,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,VICTOR LAMAS,OBISPO HIPOLITO SALAS,OBISPO HIPOLITO SALAS - VICTOR LAMAS,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
