X,Y,FID,POINT_X,POINT_Y,Idaccident,Año,Claseaccid,Fecha,Cód_Regi,Región,Cód_Comun,Comuna,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa,Cód_Cau_1,Causa__CON,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Pistas_de,Pistas_d_1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora_1
-8153893.7714717,-4475204.78866834,2240,-73.247674,-37.258535,1464974,2022,1,2022/07/19 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,VICENTE MILLAN,0,0,- VICENTE MILLAN,315,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1,17:50:00
-8132750.42643932,-4413576.54425116,2241,-73.05774,-36.816619,1464975,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,51,CHOQUE FRONTAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,24,CONDUCCION EN ESTADO DE EBRIEDAD,4,ALCOHOL EN CONDUCTOR,0,CAUPOLICAN,0,VICUÑA MACKENNA,CAUPOLICAN - VICUÑA MACKENNA,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,0,01:15:00
-8135721.87760707,-4408932.32965406,2242,-73.084433,-36.783212,1464983,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8110,TALCAHUANO,50,CHOQUE,40,CHOQUE,1,URBANA,16,CRUCE SIN SEÑALIZACION,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,IMPRUDENCIA DEL CONDUCTOR,0,O'HIGGINS,0,ARTEAGA ALEMPARTE,ARTEAGA ALEMPARTE - O'HIGGINS,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,15:40:00
-8051556.33869596,-4505153.85599181,2243,-72.328361,-37.47236,1464990,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,52,CHOQUE LATERAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,95,PERDIDA CONTROL VEHICULO,9,PERDIDA CONTROL VEHICULO,0,GABRIELA MISTRAL,0,0,- GABRIELA MISTRAL,1751,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,1,02:20:00
-8170620.48231101,-4551486.82882046,2244,-73.397933,-37.801958,1464994,2022,1,2022/07/28 00:00:00+00,8,REGION BIO BIO,8203,CAÑETE,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,SEGUNDO DE LINEA,0,ESMERALDA,ESMERALDA - SEGUNDO DE LINEA,0,0,0,0,1,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,14:31:00
-8054070.57845112,-4504429.08475819,2245,-72.350947,-37.467193,1464996,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,62,CHOQUE FRENTE/LADO,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,COLON,0,0,- COLON,575,0,0,0,2,0,1,UNIDIRECCIONAL,2,ASFALTO,3,MALO,3,MOJADO,1,DESPEJADO,0,0,0,0,2,14:50:00
-8052825.4254188,-4504023.53544197,2246,-72.339762,-37.464301,1464999,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,53,CHOQUE POSTERIOR,40,CHOQUE,1,URBANA,14,CRUCE CON SEÑAL PARE,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,COMANDANTE LUIS SOTO,0,MARCONI,COMANDANTE LUIS SOTO - MARCONI,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,14:15:00
-8169923.66682644,-4550571.14691766,2247,-73.391673,-37.795459,1465002,2022,1,2022/07/28 00:00:00+00,8,REGION BIO BIO,8203,CAÑETE,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,PRESIDENTE EDUARDO FREI,0,LOS ALERCES,LOS ALERCES - PRESIDENTE EDUARDO FREI,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,2,HUMEDO,1,DESPEJADO,0,1,0,0,1,19:00:00
-8053022.08243124,-4507179.01802477,2248,-72.341528,-37.486797,1465005,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,30,COLISION,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,0,SANTIAGO BARRERA,0,LOS GLADIOLOS,LOS GLADIOLOS - SANTIAGO BARRERA,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,15:45:00
-8053192.04502978,-4506854.22284968,2249,-72.343055,-37.484482,1465011,2022,1,2022/08/04 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,32,COLISION LATERAL,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,BALBINO SANHUEZA,0,TENIENTE MERINO,BALBINO SANHUEZA - TENIENTE MERINO,0,0,0,0,1,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,18:00:00
