FID,type,nombre,comuna,nombre_reg,nombre_com,Shape__Length,calle_join_key
216594,residential,George A.W. Knight,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,125.08285822625,GEORGE A.W. KNIGHT
216595,residential,Avenida William Condon,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,732.864270604541,AVENIDA WILLIAM CONDON
216614,residential,Villarrica,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,1139.31689499066,VILLARRICA
216615,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,31.836413863229,
216616,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,771.581754339748,
216617,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,53.3533651717364,
216618,tertiary,Camino El Venado,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,462.249636476141,CAMINO EL VENADO
216619,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,71.960086712429,
216620,residential,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,869.865646960472,
216621,residential,Camino Club Victoria,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,439.619932152546,CAMINO CLUB VICTORIA
216624,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,243.36129752462,
216625,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,84.1725760989431,
216626,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,384.011454318935,
216627,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,680.383683195356,
216628,service,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,45.5907571420595,
216629,service,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,54.3700476344523,
216630,service,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,233.709990895713,
216631,service,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,47.9731335642667,
216632,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,255.020692893811,
216633,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,161.808427476487,
216634,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,62.3968697965872,
216635,living_street,,8108,REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,158.382841929061,
216636,residential,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,1601.93331531292,
216637,residential,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,622.746674291958,
216638,track,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,913.876346836246,
216639,residential,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,632.586718039452,
216640,residential,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,179.11137645331,
216641,residential,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,651.817828565848,
216642,residential,,8405,REGIÓN DEL BIOBÍO,COIHUECO,254.875043909829,
216643,residential,,8405,REGIÓN DEL BIOBÍO,COIHUECO,543.289094452082,
216644,residential,,8405,REGIÓN DEL BIOBÍO,COIHUECO,263.728757359528,
216645,residential,,8405,REGIÓN DEL BIOBÍO,COIHUECO,544.150237695258,
216646,track,,8405,REGIÓN DEL BIOBÍO,COIHUECO,4870.39257485921,
216647,track,,8405,REGIÓN DEL BIOBÍO,COIHUECO,1759.09126286925,
216648,track,,8405,REGIÓN DEL BIOBÍO,COIHUECO,1432.7138035695,
216649,track,,8405,REGIÓN DEL BIOBÍO,COIHUECO,1118.68241095476,
216663,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,303.729168372889,
216664,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,61.6024915433616,
216665,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,175.471199833921,
216666,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,53.4438689842907,
216667,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,200.763609886872,
216668,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,96.0980923704099,
216669,primary,Arturo Prat,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,1582.80303217123,ARTURO PRAT
216670,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,234.997462664272,
216671,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,53.849619803612,
216672,track,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,148.034892033755,
216673,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,213.087840127195,
216674,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,102.039979111264,
216675,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,51.6067089435403,
216676,track,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,295.1620102616,
216677,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,97.7156468446043,
216678,residential,Thomas Cochrane,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,181.660934958363,THOMAS COCHRANE
216679,residential,O'Higgins,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,748.222878878812,O'HIGGINS
216680,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,347.265785277204,
216681,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,77.2004743625769,
216682,tertiary,Quirihue - Torrecillas,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,1366.27841252435,QUIRIHUE - TORRECILLAS
216683,track,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,183.47185232304,
216684,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,130.315882614827,
216685,living_street,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,97.1221521839756,
216686,residential,Calle Carlos Montane Castro,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,212.83479369487,CALLE CARLOS MONTANE CASTRO
216687,residential,Calle Pedro Aguírre Cerda,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,199.963205737347,CALLE PEDRO AGUÍRRE CERDA
216688,track,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,338.400533771347,
216689,residential,,8414,REGIÓN DEL BIOBÍO,QUIRIHUE,180.488924666242,
